date,inner,moto,outer
2022.07.22 13:19:25,0,0,0
2022.07.22 13:19:26,0,0,0
2022.07.22 13:19:26,0,0,0
2022.07.22 13:19:27,0,0,0
2022.07.22 13:19:27,0,0,0
2022.07.22 13:19:28,1,1,5
2022.07.22 13:19:28,59,18,90
2022.07.22 13:19:29,161,49,227
2022.07.22 13:19:29,281,84,386
2022.07.22 13:19:30,408,121,554
2022.07.22 13:19:30,539,159,725
2022.07.22 13:19:31,664,194,882
2022.07.22 13:19:31,715,208,939
2022.07.22 13:19:32,720,209,944
2022.07.22 13:19:32,720,209,944
2022.07.22 13:19:33,731,213,965
2022.07.22 13:19:33,807,236,1072
2022.07.22 13:19:34,916,268,1217
2022.07.22 13:19:34,1040,304,1380
2022.07.22 13:19:35,1169,342,1549
2022.07.22 13:19:35,1300,380,1721
2022.07.22 13:19:36,1432,419,1895
2022.07.22 13:19:36,1565,457,2069
2022.07.22 13:19:37,1692,493,2229
2022.07.22 13:19:37,1744,508,2287
2022.07.22 13:19:38,1751,509,2293
2022.07.22 13:19:38,1751,509,2293
2022.07.22 13:19:39,1761,513,2314
2022.07.22 13:19:39,1837,536,2420
2022.07.22 13:19:40,1946,568,2566
2022.07.22 13:19:40,2069,604,2728
2022.07.22 13:19:41,2198,641,2897
2022.07.22 13:19:41,2329,680,3069
2022.07.22 13:19:42,2462,718,3243
2022.07.22 13:19:42,2595,757,3417
2022.07.22 13:19:43,2722,793,3578
2022.07.22 13:19:43,2775,807,3637
2022.07.22 13:19:44,2781,809,3642
2022.07.22 13:19:44,2781,809,3642
2022.07.22 13:19:45,2792,813,3663
2022.07.22 13:19:45,2867,835,3768
2022.07.22 13:19:46,2976,867,3914
2022.07.22 13:19:46,3099,903,4077
2022.07.22 13:19:47,3228,941,4246
2022.07.22 13:19:47,3360,979,4419
2022.07.22 13:19:48,3493,1018,4592
2022.07.22 13:19:48,3626,1057,4767
2022.07.22 13:19:49,3753,1093,4927
2022.07.22 13:19:49,3807,1107,4988
2022.07.22 13:19:50,3812,1109,4993
2022.07.22 13:19:50,3812,1109,4993
2022.07.22 13:19:51,3823,1113,5013
2022.07.22 13:19:51,3898,1135,5118
2022.07.22 13:19:52,4007,1167,5264
2022.07.22 13:19:52,4130,1203,5427
2022.07.22 13:19:53,4259,1241,5596
2022.07.22 13:19:53,4391,1279,5768
2022.07.22 13:19:54,4523,1318,5942
2022.07.22 13:19:54,4656,1356,6117
2022.07.22 13:19:55,4784,1393,6278
2022.07.22 13:19:55,4838,1408,6339
2022.07.22 13:19:56,4845,1409,6344
2022.07.22 13:19:56,4845,1409,6344
2022.07.22 13:19:57,4854,1413,6364
2022.07.22 13:19:57,4929,1435,6469
2022.07.22 13:19:58,5038,1467,6615
